F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30
0.008043,10.05,17.53,64.41,0.021,0.1007,0.1402,0.07326,0.02511,0.0169,0.01775,0.01449,0.07664,0.189,0.06331,384,0.2619,0.2894,0.1402,2.015,1.778,16.85,0.007803,0.1055,0.002778,11.16,26.84,71.98,310.8,0.06499
0.01045,10.8,21.98,68.79,0.01844,0.08801,0.1303,0.05743,0.03614,0.02991,0.01404,0.02148,0.07662,0.2016,0.05977,489.5,0.3077,0.2965,0.1696,1.621,2.24,20.2,0.006543,0.1927,0.00269,12.76,32.04,83.69,359.9,0.07485
0.008747,16.14,14.86,104.3,0.015,0.09495,0.1206,0.08501,0.055,0.01831,0.04528,0.01246,0.07012,0.1735,0.05875,947.9,0.2387,0.2778,0.1722,0.6372,1.729,21.83,0.003958,0.231,0.001621,17.71,19.58,115.9,800,0.1129
0.01519,12.18,17.84,77.79,0.0222,0.1045,0.114,0.07057,0.0249,0.01131,0.02941,0.01179,0.07376,0.19,0.06635,495.2,0.3661,0.2227,0.09358,1.511,2.41,24.44,0.005433,0.0498,0.003408,12.83,20.92,82.14,451.1,0.05882
0.004551,12.25,22.44,78.18,0.01608,0.08192,0.1256,0.052,0.01714,0.00941,0.01261,0.01205,0.08203,0.1544,0.05976,622.9,0.2239,0.31,0.1804,1.139,1.577,18.04,0.005096,0.123,0.002399,14.17,31.99,92.74,466.5,0.06335
0.008468,13.28,13.72,85.79,0.01461,0.08363,0.1166,0.08575,0.05077,0.02828,0.02864,0.02073,0.0732,0.1617,0.05594,623.7,0.1833,0.2736,0.2685,0.5308,1.592,15.26,0.004271,0.2866,0.002613,14.24,17.37,96.59,541.8,0.09173
0.01846,11.74,14.02,74.24,0.02921,0.07813,0.1036,0.0434,0.02245,0.01514,0.02763,0.01442,0.06688,0.2101,0.06113,533.7,0.5619,0.3101,0.085,1.268,3.717,37.83,0.008034,0.06735,0.002005,13.31,18.26,84.7,427.3,0.0829
0.006474,12.67,17.3,81.25,0.02057,0.1028,0.1384,0.07664,0.03193,0.01329,0.02107,0.009514,0.06888,0.1707,0.05984,574.4,0.21,0.2688,0.1212,0.9505,1.566,17.61,0.006809,0.102,0.001784,13.71,21.1,88.7,489.9,0.05602
0.01666,14.22,23.12,94.37,0.05113,0.1075,0.1533,0.2413,0.1981,0.1166,0.06618,0.1354,0.1446,0.2384,0.07542,762.4,0.286,0.5166,0.9327,2.11,2.112,31.72,0.00797,0.8488,0.01172,15.74,37.18,106.4,609.9,0.1772
0.01164,11.27,12.96,73.16,0.02108,0.1237,0.161,0.1111,0.079,0.02101,0.0555,0.01777,0.09215,0.2018,0.06914,476.1,0.2562,0.3343,0.2429,0.9858,1.809,16.04,0.006635,0.2247,0.003721,12.84,20.53,84.93,386.3,0.1318
0.02536,20.2,26.83,133.7,0.0371,0.09905,0.1278,0.1669,0.1641,0.05904,0.1265,0.04674,0.07632,0.1875,0.0602,1671,0.9761,0.3271,0.3416,1.892,7.128,103.6,0.008439,0.3703,0.004286,24.19,33.81,160,1234,0.2152
0.01841,11.62,18.18,76.38,0.01807,0.1175,0.178,0.1483,0.102,0.04961,0.05564,0.03206,0.0927,0.1957,0.07255,528.1,0.4101,0.266,0.2878,1.74,3.027,27.85,0.01459,0.3186,0.005217,13.36,25.4,88.14,408.8,0.1416
0.01286,14.34,13.47,92.51,0.02266,0.09906,0.1297,0.07624,0.05724,0.0236,0.04603,0.01428,0.06072,0.2075,0.05448,873.2,0.522,0.3062,0.1525,0.8121,3.763,48.29,0.007089,0.1632,0.001463,16.77,16.9,110.4,641.2,0.1087
0.008849,11.29,13.04,72.23,0.01692,0.09834,0.1358,0.07608,0.03265,0.01282,0.02755,0.01122,0.08022,0.1769,0.0627,457.5,0.1904,0.2733,0.1507,0.5293,1.164,13.17,0.006472,0.1275,0.002817,12.32,16.18,78.27,388,0.0875
0.01097,10.26,16.58,65.85,0.02277,0.08877,0.1461,0.08066,0.04358,0.02613,0.02438,0.03084,0.09479,0.1669,0.06714,357.4,0.1144,0.2691,0.2246,1.023,0.9887,7.326,0.01027,0.1783,0.00589,10.83,22.04,71.08,320.8,0.08333
0,10.86,21.48,68.51,0.03004,0.07431,0.1001,0.04227,0,0,0,0.01104,0.06592,0.1661,0.05948,412.3,0.3163,0.2458,0.07348,1.304,2.115,20.67,0.009579,0,0.002228,11.66,24.77,74.08,360.5,0
0.01648,18.01,20.56,118.4,0.02897,0.1001,0.1309,0.1289,0.117,0.03737,0.07762,0.027,0.07625,0.2116,0.06077,1426,0.7548,0.3251,0.2327,1.288,5.353,89.74,0.007997,0.2544,0.003996,21.53,26.06,143.4,1007,0.1489
0.002404,10.08,15.11,63.76,0.02538,0.09267,0.1521,0.04695,0.001597,0.001597,0.002404,0.012,0.07697,0.1703,0.06048,437,0.4245,0.2933,0.1019,1.268,2.68,26.43,0.01439,0.00692,0.00347,11.87,21.18,75.39,317.5,0.01042
0.002386,13.2,15.82,84.07,0.01344,0.08511,0.1128,0.05251,0.001461,0.001128,0.003261,0.007861,0.08385,0.1632,0.05894,636.9,0.1903,0.2651,0.1346,0.5735,1.204,15.5,0.003632,0.0112,0.002585,14.41,20.45,92,537.3,0.025
0.008304,13.11,22.54,87.02,0.02514,0.1002,0.1349,0.1483,0.08705,0.02526,0.05102,0.03041,0.1076,0.185,0.0731,639.3,0.1931,0.4128,0.4402,0.9223,1.491,15.09,0.005251,0.3162,0.004198,14.55,29.16,99.48,529.4,0.1126
0.01314,11.3,18.19,73.93,0.01995,0.09592,0.1347,0.1325,0.1548,0.0888,0.02854,0.05914,0.1297,0.2054,0.07669,472.9,0.2428,0.3308,0.4848,1.642,2.369,16.39,0.006663,0.7436,0.008675,12.58,27.96,87.16,389.4,0.1218
0.004667,11.54,10.72,73.73,0.02032,0.08597,0.1092,0.05969,0.01367,0.01003,0.008907,0.0134,0.07434,0.1833,0.061,467.8,0.1312,0.339,0.1626,0.3602,1.107,9.438,0.004124,0.08324,0.001952,12.34,12.87,81.23,409.1,0.04715
0.01269,14.74,25.42,94.7,0.0187,0.08275,0.106,0.07214,0.04105,0.01947,0.03027,0.01172,0.06956,0.184,0.0568,826.4,0.3031,0.2722,0.1376,1.385,2.177,27.41,0.004775,0.1611,0.002626,16.51,32.29,107.4,668.6,0.1095
0.009423,15.05,19.07,97.26,0.01152,0.09215,0.1246,0.08597,0.07486,0.02967,0.04335,0.0163,0.06954,0.1561,0.05915,967,0.386,0.2282,0.2101,1.198,2.63,38.49,0.004952,0.2866,0.001718,17.58,28.06,113.8,701.9,0.112
0.01716,23.21,26.97,153.5,0.0159,0.09509,0.1481,0.1682,0.195,0.04497,0.1237,0.02863,0.08677,0.1909,0.06309,2944,1.058,0.3103,0.4126,0.9635,7.247,155.8,0.006428,0.582,0.003053,31.01,34.51,206,1670,0.2593
